Time, Total Creatures, Predators, Prey, Trees, Speed, Look Radius
0,0,0,0,0,0,0
1.022209,0,0,0,0,0,0
1.966442,0,0,0,0,0,0
2.908131,0,0,0,0,0,0
3.918588,0,0,0,0,0,0
4.929643,0,0,0,0,0,0
5.948586,0,0,0,0,0,0
6.968202,0,0,0,0,0,0
7.998049,0,0,0,0,0,0
9.011929,0,0,0,0,0,0
10.03205,0,0,0,0,0,0
11.05331,0,0,0,0,0,0
12.07579,0,0,0,0,0,0
13.0863,0,0,0,0,0,0
14.11285,0,0,0,0,0,0
15.13525,0,0,0,0,0,0
16.13881,0,0,0,0,0,0
17.16601,0,0,0,0,0,0
18.17236,0,0,0,0,0,0
19.18262,0,0,0,0,0,0
20.19647,0,0,0,0,0,0
21.21721,0,0,0,0,0,0
22.22858,0,0,0,0,0,0
23.23318,0,0,0,0,0,0
24.24032,0,0,0,0,0,0
25.25388,0,0,0,0,0,0
26.26413,0,0,0,0,0,0
27.26887,0,0,0,0,0,0
28.2776,0,0,0,0,0,0
29.28426,0,0,0,0,0,0
30.29241,0,0,0,0,0,0
31.30839,0,0,0,0,0,0
32.31474,0,0,0,0,0,0
33.34379,0,0,0,0,0,0
34.35383,0,0,0,0,0,0
35.36968,0,0,0,0,0,0
36.37234,0,0,0,0,0,0
37.38523,0,0,0,0,0,0
38.39598,0,0,0,0,0,0
39.40897,0,0,0,0,0,0
40.41835,0,0,0,0,0,0
41.43061,0,0,0,0,0,0
42.44159,0,0,0,0,0,0
43.44854,0,0,0,0,0,0
44.45184,0,0,0,0,0,0
45.4617,0,0,0,0,0,0
46.46965,0,0,0,0,0,0
47.4772,0,0,0,0,0,0
48.48674,0,0,0,0,0,0
49.50477,0,0,0,0,0,0
50.51987,0,0,0,0,0,0
51.52492,0,0,0,0,0,0
52.53246,0,0,0,0,0,0
53.53473,0,0,0,0,0,0
54.54689,0,0,0,0,0,0
55.55626,0,0,0,0,0,0
56.56272,0,0,0,0,0,0
57.57321,0,0,0,0,0,0
58.58088,0,0,0,0,0,0
59.60363,0,0,0,0,0,0
60.6074,0,0,0,0,0,0
61.62353,0,0,0,0,0,0
62.64289,0,0,0,0,0,0
63.65243,0,0,0,0,0,0
64.66183,0,0,0,0,0,0
65.68209,0,0,0,0,0,0
66.68807,0,0,0,0,0,0
67.72549,0,0,0,0,0,0
68.73984,0,0,0,0,0,0
69.74103,0,0,0,0,0,0
70.75041,0,0,0,0,0,0
71.75694,0,0,0,0,0,0
72.75973,0,0,0,0,0,0
73.76519,0,0,0,0,0,0
74.77831,0,0,0,0,0,0
75.79024,0,0,0,0,0,0
76.80605,0,0,0,0,0,0
77.81078,0,0,0,0,0,0
78.81303,0,0,0,0,0,0
79.82538,0,0,0,0,0,0
80.84303,0,0,0,0,0,0
81.84393,0,0,0,0,0,0
82.85268,0,0,0,0,0,0
83.86565,0,0,0,0,0,0
84.87586,0,0,0,0,0,0
85.89304,0,0,0,0,0,0
86.89796,0,0,0,0,0,0
87.91585,0,0,0,0,0,0
88.91759,0,0,0,0,0,0
89.92686,0,0,0,0,0,0
90.94053,0,0,0,0,0,0
91.94411,0,0,0,0,0,0
92.95226,0,0,0,0,0,0
93.96295,0,0,0,0,0,0
94.9689,0,0,0,0,0,0
95.98006,0,0,0,0,0,0
96.98801,0,0,0,0,0,0
97.99171,0,0,0,0,0,0
99.01758,0,0,0,0,0,0
100.0297,0,0,0,0,0,0
101.0341,0,0,0,0,0,0
102.0439,0,0,0,0,0,0
103.0496,0,0,0,0,0,0
104.06,0,0,0,0,0,0
105.087,0,0,0,0,0,0
106.1063,0,0,0,0,0,0
107.1145,0,0,0,0,0,0
108.1264,0,0,0,0,0,0
109.1343,0,0,0,0,0,0
110.1406,0,0,0,0,0,0
111.1414,0,0,0,0,0,0
112.145,0,0,0,0,0,0
113.1625,0,0,0,0,0,0
114.1672,0,0,0,0,0,0
115.1748,0,0,0,0,0,0
116.1811,0,0,0,0,0,0
117.2124,0,0,0,0,0,0
118.2267,0,0,0,0,0,0
119.2579,0,0,0,0,0,0
120.2699,0,0,0,0,0,0
121.2722,0,0,0,0,0,0
122.2726,0,0,0,0,0,0
123.2771,0,0,0,0,0,0
124.2796,0,0,0,0,0,0
125.2853,0,0,0,0,0,0
126.2866,0,0,0,0,0,0
127.2968,0,0,0,0,0,0
128.3193,0,0,0,0,0,0
129.352,0,0,0,0,0,0
130.3647,0,0,0,0,0,0
131.3794,0,0,0,0,0,0
132.3834,0,0,0,0,0,0
133.3949,0,0,0,0,0,0
134.4069,0,0,0,0,0,0
135.4186,0,0,0,0,0,0
136.4227,0,0,0,0,0,0
137.4276,0,0,0,0,0,0
138.4295,0,0,0,0,0,0
139.4382,0,0,0,0,0,0
140.4418,0,0,0,0,0,0
141.4561,0,0,0,0,0,0
142.4618,0,0,0,0,0,0
143.4717,0,0,0,0,0,0
144.4785,0,0,0,0,0,0
145.483,0,0,0,0,0,0
146.4858,0,0,0,0,0,0
