Time, Total Creatures, Predators, Prey, Trees, Speed, Look Radius, Gestation, Max Offspring, Storage, Reproductive Urge, Eye Color
0,0,0,0,0,0,0,0,0,0,0,0
1.018934,0,0,0,0,0,0,0,0,0,0,0
1.929365,0,0,0,0,0,0,0,0,0,0,0
2.947455,0,0,0,0,0,0,0,0,0,0,0
3.95508,0,0,0,0,0,0,0,0,0,0,0
4.96305,0,0,0,0,0,0,0,0,0,0,0
5.983388,0,0,0,0,0,0,0,0,0,0,0
7.005432,0,0,0,0,0,0,0,0,0,0,0
8.008502,0,0,0,0,0,0,0,0,0,0,0
9.016523,0,0,0,0,0,0,0,0,0,0,0
10.01958,0,0,0,0,0,0,0,0,0,0,0
11.02932,0,0,0,0,0,0,0,0,0,0,0
12.03569,0,0,0,0,0,0,0,0,0,0,0
13.05463,0,0,0,0,0,0,0,0,0,0,0
14.05813,0,0,0,0,0,0,0,0,0,0,0
15.06307,0,0,0,0,0,0,0,0,0,0,0
16.08883,0,0,0,0,0,0,0,0,0,0,0
17.10233,0,0,0,0,0,0,0,0,0,0,0
18.13433,0,0,0,0,0,0,0,0,0,0,0
19.15952,0,0,0,0,0,0,0,0,0,0,0
20.19873,0,0,0,0,0,0,0,0,0,0,0
21.22561,0,0,0,0,0,0,0,0,0,0,0
22.25126,0,0,0,0,0,0,0,0,0,0,0
23.25977,0,0,0,0,0,0,0,0,0,0,0
24.2629,0,0,0,0,0,0,0,0,0,0,0
25.28106,0,0,0,0,0,0,0,0,0,0,0
26.28928,0,0,0,0,0,0,0,0,0,0,0
27.31688,0,0,0,0,0,0,0,0,0,0,0
28.34123,0,0,0,0,0,0,0,0,0,0,0
29.35164,0,0,0,0,0,0,0,0,0,0,0
30.39207,0,0,0,13,0,0,0,0,0,0,0
31.40322,0,0,0,36,0,0,0,0,0,0,0
32.40619,0,0,0,59,0,0,0,0,0,0,0
33.68647,0,0,0,67,0,0,0,0,0,0,0
34.76982,0,0,0,68,0,0,0,0,0,0,0
35.98341,0,0,0,69,0,0,0,0,0,0,0
37.25547,0,0,0,70,0,0,0,0,0,0,0
38.50946,0,0,0,71,0,0,0,0,0,0,0
39.79019,0,0,0,72,0,0,0,0,0,0,0
41.2258,0,0,0,73,0,0,0,0,0,0,0
42.50513,0,0,0,74,0,0,0,0,0,0,0
43.77682,0,0,0,75,0,0,0,0,0,0,0
45.03852,0,0,0,76,0,0,0,0,0,0,0
46.025,0,0,0,77,0,0,0,0,0,0,0
46.97365,0,0,0,78,0,0,0,0,0,0,0
47.91457,0,0,0,79,0,0,0,0,0,0,0
48.85265,0,0,0,80,0,0,0,0,0,0,0
49.76153,0,0,0,81,0,0,0,0,0,0,0
50.99195,0,0,0,82,0,0,0,0,0,0,0
51.87708,0,0,0,83,0,0,0,0,0,0,0
52.8366,0,0,0,84,0,0,0,0,0,0,0
53.75682,0,0,0,85,0,0,0,0,0,0,0
54.56838,0,0,0,86,0,0,0,0,0,0,0
55.39122,0,0,0,87,0,0,0,0,0,0,0
56.24395,0,0,0,88,0,0,0,0,0,0,0
57.15441,0,0,0,89,0,0,0,0,0,0,0
58.08346,0,0,0,90,0,0,0,0,0,0,0
58.91682,0,0,0,91,0,0,0,0,0,0,0
59.76334,0,0,0,92,0,0,0,0,0,0,0
60.69885,0,0,0,93,0,0,0,0,0,0,0
61.678,0,0,0,94,0,0,0,0,0,0,0
62.55832,0,0,0,95,0,0,0,0,0,0,0
63.47234,0,0,0,96,0,0,0,0,0,0,0
64.35265,0,0,0,97,0,0,0,0,0,0,0
65.22137,0,0,0,98,0,0,0,0,0,0,0
66.09824,0,0,0,99,0,0,0,0,0,0,0
66.98944,0,0,0,100,0,0,0,0,0,0,0
67.82902,0,0,0,101,0,0,0,0,0,0,0
68.70303,0,0,0,102,0,0,0,0,0,0,0
69.61515,0,0,0,103,0,0,0,0,0,0,0
70.5423,0,0,0,104,0,0,0,0,0,0,0
71.44572,0,0,0,105,0,0,0,0,0,0,0
72.32352,0,0,0,106,0,0,0,0,0,0,0
73.20667,0,0,0,107,0,0,0,0,0,0,0
