Time, Total Creatures, Predators, Prey, Trees, Speed, Look Radius
0,0,0,0,0,0,0
1.16106,0,0,0,0,0,0
2.07673,0,0,0,0,0,0
3.086883,0,0,0,0,0,0
4.091941,0,0,0,0,0,0
5.100211,0,0,0,0,0,0
6.104053,0,0,0,0,0,0
7.109476,0,0,0,0,0,0
8.11659,0,0,0,0,0,0
9.124824,0,0,0,0,0,0
10.13494,0,0,0,0,0,0
11.14563,0,0,0,0,0,0
12.14674,0,0,0,0,0,0
13.15644,0,0,0,0,0,0
14.15793,0,0,0,0,0,0
15.16292,0,0,0,0,0,0
16.17076,0,0,0,0,0,0
17.17352,0,0,0,0,0,0
18.1785,0,0,0,0,0,0
19.25491,0,0,0,2,0,0
20.26671,0,0,0,68,0,0
21.27985,0,0,0,139,0,0
22.38871,0,0,0,165,0,0
22.80645,0,0,0,166,0,0
23.38947,0,0,0,167,0,0
24.1762,0,0,0,168,0,0
25.08842,0,0,0,169,0,0
26.00058,0,0,0,170,0,0
26.81687,0,0,0,171,0,0
27.62252,0,0,0,172,0,0
28.352,0,0,0,173,0,0
29.16861,0,0,0,174,0,0
30.00411,0,0,0,175,0,0
30.78457,0,0,0,176,0,0
31.54112,0,0,0,177,0,0
32.31165,0,0,0,178,0,0
33.08492,0,0,0,179,0,0
33.91309,0,0,0,180,0,0
34.79336,0,0,0,181,0,0
35.66117,0,0,0,182,0,0
36.47702,0,0,0,183,0,0
37.28878,0,0,0,184,0,0
38.08711,0,0,0,185,0,0
38.94345,0,0,0,186,0,0
39.86484,0,0,0,187,0,0
40.74313,0,0,0,188,0,0
41.61496,0,0,0,189,0,0
42.45246,0,0,0,190,0,0
43.31528,0,0,0,191,0,0
44.21597,0,0,0,192,0,0
45.20115,0,0,0,193,0,0
46.14541,0,0,0,194,0,0
47.10414,0,0,0,195,0,0
48.13351,0,0,0,196,0,0
49.04129,0,0,0,197,0,0
49.96067,0,0,0,198,0,0
50.91709,0,0,0,199,0,0
51.76877,0,0,0,200,0,0
52.6472,0,0,0,201,0,0
53.47974,0,0,0,202,0,0
54.27271,0,0,0,203,0,0
55.12664,0,0,0,204,0,0
56.00378,0,0,0,205,0,0
56.82384,0,0,0,206,0,0
57.63131,0,0,0,207,0,0
58.43682,0,0,0,208,0,0
59.24471,0,0,0,209,0,0
60.11137,0,0,0,210,0,0
61.08888,0,0,0,211,0,0
62.05531,0,0,0,212,0,0
63.03406,0,0,0,213,0,0
64.01713,0,0,0,214,0,0
65.02998,0,0,0,215,0,0
66.08627,0,0,0,216,0,0
67.11166,0,0,0,217,0,0
68.0386,0,0,0,218,0,0
68.89585,0,0,0,219,0,0
69.77228,0,0,0,220,0,0
70.63235,0,0,0,221,0,0
71.53104,0,0,0,222,0,0
72.4295,0,0,0,223,0,0
73.26161,0,0,0,224,0,0
74.10165,0,0,0,225,0,0
74.96609,0,0,0,226,0,0
75.80392,0,0,0,227,0,0
76.68298,0,0,0,228,0,0
77.62632,0,0,0,229,0,0
78.52038,0,0,0,230,0,0
79.36522,0,0,0,231,0,0
80.20067,0,0,0,232,0,0
81.05869,0,0,0,233,0,0
81.93428,0,0,0,234,0,0
82.82971,0,0,0,235,0,0
83.70833,0,0,0,236,0,0
84.61208,0,0,0,237,0,0
85.50399,0,0,0,238,0,0
86.37188,0,0,0,239,0,0
87.27625,0,0,0,240,0,0
88.24345,0,0,0,241,0,0
89.14379,0,0,0,242,0,0
89.9669,0,0,0,243,0,0
90.79071,0,0,0,244,0,0
91.632,0,0,0,245,0,0
92.56611,0,0,0,246,0,0
93.52259,0,0,0,247,0,0
94.40833,0,0,0,248,0,0
95.26516,0,0,0,249,0,0
96.1307,0,0,0,250,0,0
96.97942,0,0,0,251,0,0
97.91329,0,0,0,252,0,0
98.92168,0,0,0,253,0,0
99.90346,0,0,0,254,0,0
100.9099,0,0,0,255,0,0
101.9675,0,0,0,256,0,0
103.0948,0,0,0,257,0,0
104.2444,0,0,0,258,0,0
105.2937,0,0,0,259,0,0
106.3178,0,0,0,260,0,0
107.2647,0,0,0,261,0,0
108.2368,0,0,0,262,0,0
113.8555,0,0,0,264,0,0
117.455,0,0,0,265,0,0
120.2645,0,0,0,266,0,0
123.0462,0,0,0,267,0,0
125.6325,0,0,0,268,0,0
128.2047,0,0,0,269,0,0
130.9499,0,0,0,270,0,0
133.5869,0,0,0,271,0,0
136.0969,0,0,0,272,0,0
138.6189,0,0,0,273,0,0
141.6222,0,0,0,274,0,0
144.453,0,0,0,275,0,0
147.2556,0,0,0,276,0,0
149.874,0,0,0,277,0,0
152.4102,0,0,0,278,0,0
155.0981,0,0,0,279,0,0
157.8182,0,0,0,280,0,0
160.3318,0,0,0,281,0,0
162.7942,0,0,0,282,0,0
165.4173,0,0,0,283,0,0
168.1561,0,0,0,284,0,0
170.8938,0,0,0,285,0,0
173.7265,0,0,0,286,0,0
176.3611,0,0,0,287,0,0
178.8823,0,0,0,288,0,0
181.4919,0,0,0,289,0,0
184.0894,0,0,0,290,0,0
186.546,0,0,0,291,0,0
189.015,0,0,0,292,0,0
191.6858,0,0,0,293,0,0
194.4002,0,0,0,294,0,0
200.2323,0,0,0,296,0,0
204.028,0,0,0,297,0,0
207.2091,0,0,0,298,0,0
210.1816,0,0,0,299,0,0
212.9042,0,0,0,300,0,0
215.4736,0,0,0,301,0,0
218.051,0,0,0,302,0,0
221.0533,0,0,0,303,0,0
223.9189,0,0,0,304,0,0
226.5042,0,0,0,305,0,0
229.2482,0,0,0,306,0,0
231.9272,0,0,0,307,0,0
234.5383,0,0,0,308,0,0
237.025,0,0,0,309,0,0
247.802,0,0,0,316,0,0
257.156,0,0,0,318,0,0
262.311,0,0,0,319,0,0
